id,title,detail,created_at,updated_at,urgency_level,project_status,parent_ids,child_ids,prerequisite_ids,blocked_by_ids,deadline_value,path
4,项目管理平台开发项目,,2026-04-06 15:30:22,2026-04-07 18:16:14,4,1,,5;6;7;8;9;10;11;12;14;15;16;17;18;19;20;21;22;30;31;32;35;36;37;41;43,,,2026-04-09,4
5,多级目录特性,需要检查上级项目id以及下级项目id存在；并且不能有循环依赖关系；再增加一个项目多级路径（类似文件夹那样，这个不需要编辑录入，而是通过上下级id列表自动生成）,2026-04-06 20:11:26,2026-04-06 21:25:28,0,2,4,,,,,4/5
6,不允许删除多极项目,如果尝试删除的项目，有子项目，则提示删除失败，要先删除所有子项目,2026-04-06 20:36:09,2026-04-06 21:25:33,0,2,4,,,,,4/6
7,上下级目录自动同步,修改上级/下级id时，会同步修改对应项目的下级/上级id,2026-04-06 20:51:05,2026-04-06 21:25:36,0,2,4,,,,,4/7
8,快捷创建子项目,在actions中新增一个快捷创建子项目的按钮，此时会自动将上级项目id填好（其他信息还是需要填入）,2026-04-06 21:15:05,2026-04-06 21:25:43,0,2,4,,,,,4/8
9,项目状态切换按钮,actions中增加开始/暂停/完成/中止按钮来快捷切换项目状态,2026-04-06 21:21:26,2026-04-06 21:25:47,0,2,4,,,,,4/9
10,多级目录过滤功能,过滤器可以按照上级目录进行过滤，只显示选中项目及其所有子项目,2026-04-06 21:31:36,2026-04-06 22:56:02,0,1,4,,,,,4/10
11,项目状态过滤,支持按照项目状态过滤（可多选），默认勾选待开始/进行中,2026-04-06 21:38:05,2026-04-06 22:02:55,0,2,4,,,,,4/11
12,周期性项目,"需要一个比较好的周期性规则录入方式
是否为周期性项目，是的话需要填入周期性日期（可以选择以下几种周期性方式）
1.每天/每周/每月
2.每周几（可选）
3.每月几号",2026-04-06 22:03:30,2026-04-06 22:51:07,0,0,4,,,,,4/12
13,自动扣费定期检查,cursor支付宝签约自动扣费，定期检查,2026-04-06 22:04:15,2026-04-07 20:07:11,0,0,48,,,,,48/13
14,项目研发执行状态,"研发项目
灵感状态（初步）-只是一个想法
研发实验状态（准备）-对灵感进行进一步分析，有了一些初步方案分析
研发实验状态（进行中）-
研发实验状态（有前置条件）-
研发实验状态（中止挂起结束完成）-",2026-04-06 22:53:02,2026-04-06 22:53:02,0,0,4,,,,,4/14
15,项目优先级（综合计算得出）,,2026-04-06 23:00:39,2026-04-06 23:00:39,0,0,4,,,,,4/15
16,项目经济效益,项目经济效益 0-能产生短期收益 1-未来预期能产生收益 2-收益情况不明朗 3-不会产生收益,2026-04-06 23:02:07,2026-04-06 23:02:07,0,0,4,,,,,4/16
17,项目难度预期,"项目难度预期
0-简单的项目，按部就班执行就可以
1-简单学习后有把握完成
2-不确定能不能完成，要先学习",2026-04-06 23:02:39,2026-04-06 23:02:39,0,0,4,,,,,4/17
18,项目耗时预期,"项目耗时预期
0-很快能完成（1小时以内）
1-需要一定时间（半天）
2-需要较多时间（几天）
3-需要大量时间",2026-04-06 23:03:33,2026-04-06 23:03:33,0,0,4,,,,,4/18
19,项目感兴趣,项目感兴趣（同时最多3个或者时间复杂度累加在一定程度）放在当前正在做的醒目位置；或者就是当前进行中；只允许选择3个或指定数字,2026-04-06 23:04:24,2026-04-06 23:07:43,0,0,4,,,,,4/19
20,项目自动化属性,"项目自动化属性
0-需要本人完成
1-可以授权其他人完成
2-可以自动化完成",2026-04-06 23:08:53,2026-04-06 23:08:53,0,0,4,,,,,4/20
21,界面美化,actions中显示一个详情按钮，只将标题和actions显示在公开界面，其他内容放到详情界面中,2026-04-06 23:12:02,2026-04-06 23:20:56,0,0,4,,,,,4/21
22,支撑项目,"项目支撑哪个项目（是哪个项目的前置条件）
项目可以提升哪个目标项目",2026-04-06 23:12:49,2026-04-06 23:12:49,0,0,4,,,,,4/22
23,空调报修,,2026-04-07 17:24:33,2026-04-07 19:58:27,1,0,45,,,,,45/23
24,新钱包整理,,2026-04-07 17:35:27,2026-04-07 19:58:11,0,0,48,,,,,48/24
25,拼豆参数测试（第2批豆）,,2026-04-07 17:36:04,2026-04-07 19:38:15,0,0,44,,,,,44/25
26,拼豆启动试运营,"收费标准计划；
群内发布宣传图；
拼豆区域整理收拾；
仓库桌游整理；",2026-04-07 17:37:11,2026-04-07 19:38:10,0,0,44,,,,,44/26
27,前台整理,,2026-04-07 17:54:37,2026-04-07 19:58:20,0,0,45,,,,,45/27
28,店内音乐氛围,,2026-04-07 17:54:46,2026-04-07 19:57:47,0,0,45,,,,,45/28
29,店内空调温度体感温度调控,,2026-04-07 17:54:58,2026-04-07 18:20:13,0,4,,,23,23,,29
